start Python
Time_data_preparation: 1.1905
Testing scheduler 0: StepLRMethod 0: Epoch [1/100], lr:0.0100, Loss:1.6946, Time_for_epoch: 26.6739
Method 2: Epoch [78/100], lr:0.0002, Loss:0.0003, Time_for_epoch: 38.2755
Method 2: Epoch [79/100], lr:0.0002, Loss:0.0002, Time_for_epoch: 38.2022
Method 2: Epoch [80/100], lr:0.0002, Loss:0.0002, Time_for_epoch: 37.4224
Method 2: Epoch [81/100], lr:0.0002, Loss:0.0002, Time_for_epoch: 38.0079
Method 2: Epoch [82/100], lr:0.0002, Loss:0.0002, Time_for_epoch: 38.3036
Method 2: Epoch [83/100], lr:0.0001, Loss:0.0001, Time_for_epoch: 38.6162
Method 2: Epoch [84/100], lr:0.0001, Loss:0.0001, Time_for_epoch: 38.5945
Method 2: Epoch [85/100], lr:0.0001, Loss:0.0002, Time_for_epoch: 38.3062
Method 2: Epoch [86/100], lr:0.0001, Loss:0.0001, Time_for_epoch: 37.7255
Method 2: Epoch [87/100], lr:0.0001, Loss:0.0001, Time_for_epoch: 38.0973
Method 2: Epoch [88/100], lr:0.0001, Loss:0.0001, Time_for_epoch: 38.5290
Method 2: Epoch [89/100], lr:0.0001, Loss:0.0001, Time_for_epoch: 38.3904
Method 2: Epoch [90/100], lr:0.0001, Loss:0.0000, Time_for_epoch: 39.1718
